state,program,Investment Type,Investment Dollars,Number of Investments
Illinois,Multifamily Housing,Grant Funds,"23,448",4
Illinois,Multifamily Housing,Grant Funds,"123,865",1
Illinois,Multifamily Housing,Grant Funds,"7,104",1
Illinois,Multifamily Housing,Grant Funds,"29,968",1
Illinois,Single Family Housing,Loan Funds - Guaranteed,"119,191",1
Illinois,Single Family Housing,Loan Funds - Guaranteed,"117,676",1
Illinois,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Illinois,Single Family Housing,Loan Funds - Guaranteed,"176,767",1
Illinois,Business Programs,Grant Funds,"19,920",1
Indiana,Business Programs,Grant Funds,"146,341",1
Indiana,Business Programs,Grant Funds,"534,225",1
Indiana,Multifamily Housing,Grant Funds,"94,715",1
Indiana,Multifamily Housing,Grant Funds,"6,360",2
Indiana,Multifamily Housing,Grant Funds,"3,336",1
Indiana,Multifamily Housing,Grant Funds,"105,479",1
Indiana,Multifamily Housing,Grant Funds,"56,976",1
Indiana,Multifamily Housing,Grant Funds,"94,999",1
Indiana,Multifamily Housing,Grant Funds,"10,104",3
Indiana,Multifamily Housing,Grant Funds,"82,104",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"343,433",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"251,161",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"335,454",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"198,484",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"459,595",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,969",1
Indiana,Single Family Housing,Grant Funds,"10,000",1
Indiana,Business Programs,Grant Funds,"345,687",1
Indiana,Multifamily Housing,Grant Funds,"57,362",1
Indiana,Multifamily Housing,Grant Funds,"93,644",1
Indiana,Single Family Housing,Loan Funds - Direct,"1,951,496",6
Indiana,Single Family Housing,Loan Funds - Direct,"160,900",1
Indiana,Single Family Housing,Loan Funds - Direct,"8,078,512",23
Indiana,Single Family Housing,Loan Funds - Direct,"366,755",1
Indiana,Single Family Housing,Loan Funds - Direct,"6,782,212",20
Indiana,Single Family Housing,Loan Funds - Direct,"1,262,047",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,833,261",6
Indiana,Single Family Housing,Loan Funds - Guaranteed,"197,979",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"179,797",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"486,514",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"235,353",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"172,222",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"264,646",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"262,525",1
Indiana,Multifamily Housing,Grant Funds,"97,012",1
Indiana,Multifamily Housing,Grant Funds,"92,279",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"169,141",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"324,241",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"182,828",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"250,505",1
Indiana,Business Programs,Grant Funds,"1,000,000",1
Indiana,Business Programs,Grant Funds,"99,500",1
Indiana,Multifamily Housing,Grant Funds,"4,272",1
Indiana,Multifamily Housing,Grant Funds,"102,082",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"150,505",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"276,767",2
Indiana,Business Programs,Grant Funds,"1,000,000",1
Indiana,Multifamily Housing,Grant Funds,"15,350",1
Indiana,Multifamily Housing,Grant Funds,"36,446",1
Indiana,Multifamily Housing,Grant Funds,"3,289",1
Indiana,Multifamily Housing,Grant Funds,"66,353",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"89,852",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"183,333",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"252,524",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"431,312",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"111,010",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"77,777",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"108,585",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"92,055",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"138,888",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"125,757",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Multifamily Housing,Grant Funds,"8,280",1
Indiana,Multifamily Housing,Grant Funds,"8,904",1
Indiana,Multifamily Housing,Grant Funds,"128,076",14
Indiana,Multifamily Housing,Grant Funds,"11,196",1
Indiana,Multifamily Housing,Grant Funds,"6,156",1
Indiana,Multifamily Housing,Grant Funds,"32,889",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"221,212",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"151,515",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"128,282",1
Indiana,Business Programs,Grant Funds,"158,561",1
Indiana,Single Family Housing,Grant Funds,"4,108",1
Indiana,Single Family Housing,Loan Funds - Direct,492,1
Indiana,Business Programs,Grant Funds,"43,428",1
Indiana,Multifamily Housing,Grant Funds,"10,728",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"180,808",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"141,414",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Single Family Housing,Grant Funds,"9,325",1
Indiana,Multifamily Housing,Grant Funds,"40,709",1
Indiana,Multifamily Housing,Grant Funds,424,2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"355,959",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"289,393",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,800",1
Indiana,Multifamily Housing,Grant Funds,"90,156",12
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"111,010",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"138,888",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,319",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"278,787",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"289,595",2
Indiana,Single Family Housing,Grant Funds,"10,000",1
Indiana,Single Family Housing,Loan Funds - Direct,"190,000",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"609,322",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"552,221",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"648,482",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"202,020",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"200,000",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"463,616",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"198,989",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"725,655",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"232,222",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"217,171",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,810,199",7
Indiana,Single Family Housing,Loan Funds - Guaranteed,"222,121",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"213,510",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,345,652",6
Indiana,Single Family Housing,Loan Funds - Guaranteed,"247,474",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"133,333",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"219,990",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"267,676",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"605,050",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,981,602",8
Indiana,Single Family Housing,Loan Funds - Guaranteed,"189,898",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"247,474",1
Indiana,Single Family Housing,Loan Funds - Direct,"18,564",1
Indiana,Multifamily Housing,Grant Funds,"302,358",1
Indiana,Multifamily Housing,Grant Funds,"60,935",1
Indiana,Multifamily Housing,Grant Funds,"136,152",1
Indiana,Multifamily Housing,Grant Funds,"2,280",2
Indiana,Multifamily Housing,Grant Funds,"38,414",14
Indiana,Multifamily Housing,Grant Funds,"7,791",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"118,571",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"204,039",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"129,292",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,478,279",10
Indiana,Single Family Housing,Loan Funds - Guaranteed,"126,262",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"311,717",2
Indiana,Multifamily Housing,Grant Funds,"27,502",1
Indiana,Multifamily Housing,Grant Funds,"4,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"204,040",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"161,616",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"176,767",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"191,919",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"222,222",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"449,393",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"724,355",5
Indiana,Single Family Housing,Loan Funds - Guaranteed,"183,838",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,818",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"187,878",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"139,393",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"217,171",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"262,626",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"191,111",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"486,665",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Indiana,Single Family Housing,Grant Funds,"8,100",1
Indiana,Business Programs,Grant Funds,"60,439",1
Indiana,Multifamily Housing,Grant Funds,"51,088",1
Indiana,Multifamily Housing,Grant Funds,"69,127",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"298,484",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,818",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"241,414",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"282,828",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"171,717",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,717",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"134,343",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"175,959",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"378,787",2
Indiana,Single Family Housing,Grant Funds,"8,920",1
Indiana,Multifamily Housing,Grant Funds,"34,563",1
Indiana,Multifamily Housing,Grant Funds,"7,500",1
Indiana,Multifamily Housing,Grant Funds,"55,129",1
Indiana,Multifamily Housing,Grant Funds,"4,812",1
Indiana,Multifamily Housing,Grant Funds,"144,683",1
Indiana,Multifamily Housing,Grant Funds,"41,579",1
Indiana,Multifamily Housing,Grant Funds,"109,646",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"161,515",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,454,238",8
Indiana,Single Family Housing,Loan Funds - Guaranteed,"302,929",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,227,270",5
Indiana,Single Family Housing,Loan Funds - Guaranteed,"197,979",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,717",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"191,919",1
Indiana,Multifamily Housing,Grant Funds,"108,828",1
Indiana,Multifamily Housing,Grant Funds,"147,588",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"166,666",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"606,058",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"167,676",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"389,393",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"222,222",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"149,494",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"262,626",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,269,756",8
Indiana,Single Family Housing,Loan Funds - Guaranteed,"183,737",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"305,036",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"101,111",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"308,080",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"87,878",1
Indiana,Multifamily Housing,Grant Funds,"116,877",1
Indiana,Multifamily Housing,Grant Funds,"7,164",2
Indiana,Multifamily Housing,Grant Funds,"119,244",1
Indiana,Single Family Housing,Loan Funds - Direct,"372,069",1
Indiana,Single Family Housing,Loan Funds - Direct,"1,393,394",4
Indiana,Single Family Housing,Loan Funds - Direct,"471,160",2
Indiana,Single Family Housing,Loan Funds - Direct,"974,956",3
Indiana,Single Family Housing,Loan Funds - Direct,"317,000",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"118,080",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"126,262",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"302,929",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"565,655",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"288,888",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"303,029",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"891,412",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"478,458",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"173,737",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"166,994",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"469,607",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"373,502",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"739,290",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"403,535",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"202,020",1
Indiana,Multifamily Housing,Grant Funds,"73,149",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"48,484",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"661,265",5
Indiana,Single Family Housing,Loan Funds - Guaranteed,"158,585",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,464",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"171,616",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"519,190",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"351,413",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"874,142",6
Indiana,Single Family Housing,Grant Funds,"10,000",1
Indiana,Single Family Housing,Loan Funds - Direct,"5,631",1
Indiana,Business Programs,Grant Funds,"70,000",1
Indiana,Multifamily Housing,Grant Funds,"21,794",1
Indiana,Multifamily Housing,Grant Funds,"1,596",1
Indiana,Multifamily Housing,Grant Funds,"261,792",1
Indiana,Single Family Housing,Loan Funds - Direct,"7,500",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"692,189",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"257,575",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,818",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"237,373",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"184,242",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"237,372",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"398,989",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"681,918",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"200,000",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"218,080",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"52,222",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"282,626",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"141,414",1
Indiana,Business Programs,Grant Funds,"55,031",1
Indiana,Business Programs,Grant Funds,"35,296",1
Indiana,Business Programs,Grant Funds,"21,904",1
Indiana,Multifamily Housing,Grant Funds,"121,528",1
Indiana,Multifamily Housing,Grant Funds,"12,962",1
Indiana,Multifamily Housing,Grant Funds,"5,064",1
Indiana,Multifamily Housing,Grant Funds,"6,120",1
Indiana,Multifamily Housing,Grant Funds,"63,318",1
Indiana,Single Family Housing,Loan Funds - Direct,"317,048",1
Indiana,Single Family Housing,Loan Funds - Direct,"673,910",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"460,605",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"628,180",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"257,575",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"422,222",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"154,545",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"434,343",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"196,969",1
Indiana,Single Family Housing,Grant Funds,"1,460",1
Indiana,Single Family Housing,Loan Funds - Direct,"6,820",1
Indiana,Business Programs,Grant Funds,"338,904",1
Indiana,Multifamily Housing,Grant Funds,"5,244",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"304,040",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"180,808",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"141,414",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"151,515",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"437,372",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"330,574",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"99,946",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"226,767",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"96,616",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,212",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"136,363",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"63,635",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"468,231",5
Indiana,Single Family Housing,Loan Funds - Guaranteed,"161,616",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"90,909",1
Indiana,Single Family Housing,Grant Funds,"16,450",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"280,707",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"201,919",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"176,767",1
Indiana,Multifamily Housing,Grant Funds,"56,443",1
Indiana,Multifamily Housing,Grant Funds,"27,244",1
Indiana,Multifamily Housing,Grant Funds,"71,211",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"149,494",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"80,808",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"98,989",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"80,808",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"117,171",1
Indiana,Multifamily Housing,Grant Funds,"7,080",1
Indiana,Multifamily Housing,Grant Funds,"8,832",2
Indiana,Multifamily Housing,Grant Funds,"11,112",3
Indiana,Multifamily Housing,Grant Funds,"4,716",1
Indiana,Multifamily Housing,Grant Funds,"53,032",1
Indiana,Multifamily Housing,Grant Funds,"23,336",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"130,063",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"147,474",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"188,080",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"187,878",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"191,919",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"294,746",2
Indiana,Multifamily Housing,Grant Funds,"11,745",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"370,201",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"169,696",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"157,474",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"166,565",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"208,989",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"52,525",1
Indiana,Multifamily Housing,Grant Funds,"43,377",1
Indiana,Multifamily Housing,Grant Funds,"82,284",20
Indiana,Multifamily Housing,Grant Funds,"3,732",1
Indiana,Multifamily Housing,Grant Funds,"8,232",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"95,959",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"167,676",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"207,070",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"218,181",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"106,060",1
Indiana,Business Programs,Grant Funds,"17,849",1
Indiana,Business Programs,Grant Funds,"20,000",1
Indiana,Business Programs,Grant Funds,"22,190",1
Indiana,Business Programs,Grant Funds,"59,385",1
Indiana,Business Programs,Grant Funds,"125,976",1
Indiana,Multifamily Housing,Grant Funds,"128,072",1
Indiana,Multifamily Housing,Grant Funds,"9,420",1
Indiana,Multifamily Housing,Grant Funds,"21,228",2
Indiana,Multifamily Housing,Grant Funds,"34,464",6
Indiana,Multifamily Housing,Grant Funds,"96,526",1
Indiana,Multifamily Housing,Grant Funds,"6,300",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"532,342",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"166,666",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"138,383",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"143,434",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"573,735",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"149,494",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"289,898",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"83,080",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"352,373",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"141,414",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,669,561",10
Indiana,Single Family Housing,Loan Funds - Guaranteed,"126,262",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"146,969",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"294,948",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"190,909",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"252,525",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"104,350",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"137,373",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"722,422",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"217,171",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Indiana,Business Programs,Grant Funds,"251,002",1
Indiana,Multifamily Housing,Grant Funds,"97,171",1
Indiana,Multifamily Housing,Grant Funds,"80,327",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"84,848",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"156,565",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"47,474",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"104,397",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"396,716",3
Indiana,Single Family Housing,Loan Funds - Guaranteed,"141,414",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"1,022,624",6
Indiana,Single Family Housing,Loan Funds - Guaranteed,"77,777",1
Indiana,Multifamily Housing,Grant Funds,"90,138",1
Indiana,Multifamily Housing,Grant Funds,"1,560",2
Indiana,Multifamily Housing,Grant Funds,"91,180",1
Indiana,Multifamily Housing,Grant Funds,"4,980",1
Indiana,Multifamily Housing,Grant Funds,"33,266",1
Indiana,Multifamily Housing,Grant Funds,"31,589",1
Indiana,Multifamily Housing,Grant Funds,"15,290",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"116,666",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"85,858",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"151,515",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"85,858",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"97,979",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"287,878",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"196,969",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"73,737",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"153,535",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"137,549",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"173,737",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"272,726",2
Indiana,Multifamily Housing,Grant Funds,"45,528",7
Indiana,Multifamily Housing,Grant Funds,"239,388",1
Indiana,Multifamily Housing,Grant Funds,"357,747",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"281,672",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"227,272",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"576,850",2
Indiana,Multifamily Housing,Grant Funds,"48,444",8
Indiana,Single Family Housing,Loan Funds - Guaranteed,"136,363",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"237,373",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"280,808",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"181,717",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"262,626",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"222,222",1
Indiana,Multifamily Housing,Grant Funds,"85,437",1
Indiana,Multifamily Housing,Grant Funds,"64,889",1
Indiana,Multifamily Housing,Grant Funds,"3,732",1
Indiana,Multifamily Housing,Grant Funds,"100,848",21
Indiana,Multifamily Housing,Grant Funds,"4,308",1
Indiana,Multifamily Housing,Grant Funds,"118,897",1
Indiana,Single Family Housing,Loan Funds - Direct,"357,000",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"201,862",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"152,525",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"367,676",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"202,020",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"385,554",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"648,484",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"242,323",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"225,050",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"894,746",4
Indiana,Single Family Housing,Loan Funds - Guaranteed,"252,525",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"522,222",2
Indiana,Single Family Housing,Loan Funds - Guaranteed,"239,292",1
Indiana,Single Family Housing,Loan Funds - Guaranteed,"427,272",2
